slug,title,category,score,risk_level,salary_low_usd,salary_high_usd,salary_trend,tasks_at_risk_count,tasks_growing_count,defense_skill_1,defense_skill_2,defense_skill_3,insight,score_q1_2025,score_q3_2025,score_q1_2026,score_q2_2026,score_q3_2026,soc_code,tier,sub_task_automation,sub_tool_maturity,sub_adoption,sub_agentic_exposure,agentic_risk
mobile-developer,Mobile Developer,Technology,33,Low,95000,165000,stable,4,3,"AI-Assisted Native Development (Swift, Kotlin Copilots)","Cross-Platform Architecture (Flutter, React Native, KMP)",Mobile Performance & Battery Optimization,AI now scaffolds standard screens and common features for both major mobile platforms directly from a spec. Developers who own cross-platform architecture and can debug real device fragmentation issues are the ones clients still need.,,,,,33,15-1252,2,36,76,54,40,Moderate
site-reliability-engineer,Site Reliability Engineer,Technology,31,Low,130000,200000,rising,4,3,Agentic Incident Triage & Runbook Automation,AIOps & Observability Platforms,Reliability Architecture & Capacity Planning,Agents now run first-pass triage and execute known runbooks before a human is paged. The SREs still in demand are the ones who own reliability architecture and can run incident command when the runbook doesn't cover it.,,,,,31,15-1252,2,34,68,52,48,Moderate
ux-designer,UX Designer,Technology,30,Moderate,85000,150000,stable,4,3,AI Interaction & Conversational Design,User Research Methods,"Directing AI Design Tools (Figma AI, Galileo)","AI can generate mockups and component variations fast, but understanding real user needs and designing for AI-human interaction remain judgment calls a model can't make on its own.",25,28,32,35,30,15-1255,1,36,62,46,34,Low
ai-engineer,AI Engineer,Technology,29,Low,140000,220000,rising,4,3,Multi-Agent Orchestration & Tool Use,RAG & Retrieval System Design,"AI Safety, Guardrails & Eval Design","The tooling this role builds with is itself good enough to automate a meaningful share of its own scaffolding -- prompt templates, RAG wiring, eval harnesses. Engineers who own guardrail design and multi-agent orchestration for genuinely novel workflows are the ones the market is still short of.",,,,,29,15-1252,1,32,58,50,46,Moderate
platform-engineer,Platform Engineer,Technology,29,Low,120000,195000,rising,4,3,Internal Developer Platform (IDP) Design,Agentic Golden-Path Template Maintenance,Platform Cost & Reliability Architecture,"AI now maintains a lot of the golden-path templates and CI/CD scaffolding platform teams used to hand-tend. The differentiator is driving adoption across teams and making the standardization-versus-autonomy tradeoff correctly, which no template can decide.",,,,,29,15-1252,2,32,66,46,42,Moderate
data-scientist,Data Scientist,Technology,28,Low,120000,190000,rising,4,3,Directing Agentic Data Pipelines & AutoML,LLM Fine-Tuning & Evaluation,AI Strategy & Business Translation,"Agentic notebooks can now run an entire clean-model-report loop on structured data unattended, which pushes routine modeling toward a commodity task. Data scientists who frame the right problem, design the experiment, and translate results into a business decision remain the ones firms pay for.",14,16,18,20,28,15-2051,1,32,58,48,40,Moderate
machine-learning-engineer,Machine Learning Engineer,Technology,28,Low,130000,210000,rising,4,3,Agentic MLOps Pipeline Supervision,Model Evaluation & Production Risk Assessment,LLM & Foundation Model Fine-Tuning,"Training pipelines and hyperparameter sweeps are now largely agent-run, but production risk sign-off and novel failure-mode debugging still require an engineer who understands the model, not just the framework. The premium is shifting toward engineers who can evaluate and govern what agents ship.",,,,,28,15-1252,1,31,64,52,44,Moderate
security-engineer,Security Engineer,Technology,28,Low,115000,185000,rising,4,3,Security Automation & Policy-as-Code,AI/LLM Application Security & Threat Modeling,Zero-Day Response & Exploit Analysis,Automated remediation now closes most known vulnerability classes without an engineer touching a ticket. The differentiator is security architecture for genuinely new systems -- including the AI applications the rest of the org is shipping.,,,,,28,15-1212,2,32,60,50,42,Moderate
software-engineer,Software Engineer,Technology,28,Low,110000,200000,rising,4,3,"Directing Agentic Coding Tools (Claude Code, Cursor, Copilot Workspace)",System Design & Architecture Ownership,Reviewing & Verifying Agent-Generated Code,"AI coding agents now handle scaffolding, tests, and routine bug fixes end-to-end, but architecture, security tradeoffs, and cross-team judgment still gate the work that matters. The role is shifting from writing every line to directing and verifying what agents produce.",18,20,23,25,28,15-1252,1,28,82,62,42,Moderate
cybersecurity-analyst,Cybersecurity Analyst,Technology,26,Low,90000,165000,rising,4,3,AI Security & Adversarial ML Defense,Agentic SOC Tool Supervision & Tuning,Cloud Security Architecture,"AI SOC copilots now clear most tier-1 alert volume, but they also expand the attack surface faster than they close it. Analysts who supervise agentic triage and specialize in AI-native threats -- prompt injection, model poisoning -- are pulling ahead of generalists.",15,17,18,20,26,15-1212,1,30,58,48,38,Moderate
game-developer,Game Developer,Technology,26,Low,75000,140000,mixed,4,3,"AI-Assisted Engine Scripting (Unity, Unreal Copilots)",Procedural Content & Asset Generation Pipelines,Game Feel & Player-Experience Design,"AI now writes standard gameplay systems code and can generate a fair share of routine assets, but the creative judgment behind what makes a game actually feel good to play is still squarely a human skill.",,,,,26,15-1252,2,30,58,40,38,Moderate
network-engineer,Network Engineer,Technology,24,Low,80000,135000,stable,4,3,"Network Automation (Ansible, Terraform for Networking)",SD-WAN & Hybrid-Cloud Connectivity,Network Security & Zero Trust,"AI can now generate standard router and switch configurations from a template, but multi-vendor network design and diagnosing an unfamiliar topology under outage pressure still need an engineer who has seen the failure mode before.",,,,,24,15-1241,2,28,54,42,36,Moderate
blockchain-developer,Blockchain Developer,Technology,23,Low,100000,170000,mixed,4,3,Smart Contract Security Auditing,AI-Assisted Contract Testing & Formal Verification,Cross-Chain Protocol Architecture,"AI can now scaffold a standard smart contract quickly, which makes security auditing -- where a missed edge case costs real money on-chain -- the part of this role that is actually growing in value.",,,,,23,15-1252,2,30,48,28,32,Low
cloud-architect,Cloud Architect,Technology,23,Low,140000,215000,rising,4,3,Multi-Cloud Architecture (AWS/Azure/GCP),AI-Assisted IaC & Landing Zone Design,Cloud Cost & Resilience Governance,"AI can draft a reference architecture and the IaC to match it, but choosing between vendors, owning the cost/resilience tradeoff, and getting a regulated workload through security review still take an accountable architect.",,,,,23,15-1241,1,26,56,48,36,Moderate
database-architect,Database Architect,Technology,22,Low,115000,175000,stable,4,3,Enterprise Data Architecture Strategy,AI-Assisted Schema Design & Migration Tooling,Data Governance for AI/Analytics Workloads,"AI can draft a reasonable schema for a well-understood problem, but the decisions that actually matter -- how data flows across systems, who governs it, and how it serves both transactional and AI workloads -- still need an accountable architect.",,,,,22,15-1243,2,26,52,40,34,Low
solutions-architect,Solutions Architect,Technology,20,Low,125000,195000,stable,4,3,AI-Assisted Solution Diagramming & Documentation,Enterprise Requirements Discovery & Negotiation,Multi-Vendor Architecture Tradeoff Analysis,"AI now handles the first draft of the diagram and the proposal document. What still requires a person is sitting across from a client, understanding what they actually need, and owning the tradeoff decision when the textbook answer doesn't fit their constraints.",,,,,20,15-1211,2,24,50,42,30,Low
ai-research-scientist,AI Research Scientist,Technology,17,Low,150000,260000,rising,4,3,Agentic Experiment Pipelines & Self-Driving Research Loops,Frontier Model Evaluation & Interpretability,Technical Writing for Research Publication,"Agentic experiment loops are starting to run their own ablation studies and literature synthesis, but the research direction and theoretical insight that make a result matter still come from a scientist, not the loop.",,,,,17,15-1221,2,20,54,34,32,Low
embedded-systems-engineer,Embedded Systems Engineer,Technology,15,Low,90000,150000,stable,4,3,Real-Time & Safety-Critical Firmware Design,AI-Assisted Low-Level Coding (embedded C/C++ copilots),Hardware-in-the-Loop Testing & Debugging,"This is one of the least agent-exposed engineering roles today: AI tooling for low-level, hardware-coupled firmware still lags mainstream software copilots badly, and physical hardware-in-the-loop debugging keeps a person firmly in the loop.",,,,,15,17-2061,2,20,42,30,22,Low
it-manager,IT Manager,Technology,14,Low,105000,165000,stable,4,3,AI-Augmented Reporting & Portfolio Dashboards,AI Tooling Strategy & Vendor Evaluation,Team Leadership Through an AI Transition,"AI now drafts the status reports and vendor summaries that used to eat a manager's week, but leading a team and deciding where to invest a shrinking headcount budget is still an entirely human call.",,,,,14,11-3021,2,18,38,44,16,Low
computer-hardware-engineer,Computer Hardware Engineer,Technology,13,Low,105000,175000,stable,4,3,AI-Assisted EDA & Simulation Tools,Hardware Prototyping & Lab Validation,Power/Thermal/Manufacturing Tradeoff Analysis,"AI-assisted simulation and EDA tools can speed up routine schematic work, but hardware design still lives or dies in physical prototyping and lab validation that no model can substitute for.",,,,,13,17-2061,2,18,40,26,16,Low
tax-preparer,Tax Preparer,Business & Finance,69,High,40000,75000,declining,5,3,Advanced tax planning and strategy,AI tax software proficiency,Business advisory services,"AI tax software now files the majority of standard individual returns with minimal human input, and the segment keeps shrinking. Preparers who specialize in multi-state, international, or business tax planning are the ones with a growing practice left.",58,63,68,72,69,13-2082,1,70,88,72,62,High
insurance-underwriter,Insurance Underwriter,Business & Finance,62,High,55000,110000,mixed,5,3,AI risk modeling and insurtech platforms,Specialty lines underwriting,Data analytics for risk assessment,"AI now underwrites the overwhelming majority of standard personal lines with no human touch. The career path forward is complex commercial risk, emerging categories like cyber and AI liability, and broker relationships that carriers still need a person to run.",52,58,63,68,62,13-2053,1,62,88,72,62,High
bank-teller,Bank Teller,Business & Finance,58,High,30000,40000,declining,4,3,Complex product cross-selling and financial guidance,Dispute resolution and exception handling,Community banking and relationship building,"Branch teller headcount has been shrinking for over a decade as mobile and ATM/ITM channels absorb routine transactions, and AI-driven self-service accelerates that shift further.",,,,,58,43-3071,1,64,75,60,52,High
loan-officer,Loan Officer,Business & Finance,57,High,45000,120000,mixed,5,3,Commercial lending expertise,Financial advisory and planning,Fintech and AI lending platforms,Online lenders now originate most standard consumer loans with essentially no loan officer involvement. Officers who build deep client relationships and master complex commercial or construction lending remain the ones borrowers and banks still need.,50,55,60,65,57,13-2072,1,58,85,68,58,High
accountant,Accountant,Business & Finance,56,High,55000,105000,stable,5,3,"AI accounting platforms (Vic.ai, Botkeeper, QBO AI)",Tax strategy and advisory,Forensic accounting and fraud analytics,"Routine bookkeeping, reconciliation, and standard tax prep are now largely agent-run rather than merely assisted. Accountants who move up into advisory, complex multi-entity tax strategy, or forensic work keep pricing power; those who stay in pure transaction processing compete directly with software.",48,53,58,62,56,13-2011,1,55,90,72,62,High
bookkeeper,Bookkeeper,Business & Finance,56,High,38000,55000,declining,5,3,"AI bookkeeping platform administration (Botkeeper, QBO AI)",Client advisory and cash-flow coaching,Books cleanup and audit-readiness,"Bookkeeping is one of the most fully agent-automatable roles in finance today: categorization, reconciliation, and reporting now run with minimal human input. The path forward is overseeing the AI, handling exceptions, and moving into client-facing advisory work the software can't do.",,,,,56,43-3031,1,58,85,65,58,High
auditor,Auditor,Business & Finance,53,High,60000,115000,stable,5,3,AI and algorithm auditing,"Data analytics for audit (ACL, IDEA, continuous audit tools)",IT audit and cybersecurity risk,"Full-population continuous auditing has moved from pilot to default at large firms, replacing sample-based testing outright. Auditors who specialize in judgment-heavy risk assessment, AI-system auditing, or fraud analytics are the ones clients still pay a premium for.",45,50,55,60,53,13-2011,1,54,85,65,62,High
financial-analyst,Financial Analyst,Business & Finance,50,High,65000,120000,stable,5,3,"AI-powered financial modeling (Copilot, AlphaSense)",Strategic finance and executive advisory,Data science for finance,AI now builds the model and pulls the data in minutes; the analysts who keep their seat are the ones translating the output into a judgment call an executive can act on under real uncertainty.,45,50,54,58,50,13-2051,1,50,88,68,55,High
budget-analyst,Budget Analyst,Business & Finance,49,High,60000,100000,stable,4,3,"AI-assisted FP&A platforms (Planful, Vena, Datarails)",Strategic finance and resource-allocation advisory,Data visualization and executive storytelling,"AI now closes the variance-report-to-forecast loop with minimal input, but budget analysts who can advise leadership on trade-offs and broker cross-department negotiation still set the agenda.",40,45,50,55,49,13-2031,1,50,85,65,52,High
claims-adjuster,Claims Adjuster,Business & Finance,48,Moderate,48000,85000,mixed,4,3,Complex and catastrophe claims investigation,AI touchless-claims platform oversight,Fraud detection and escalation analysis,"Touchless claims already settle most straightforward auto and property losses without a human adjuster. The remaining career path is in complex, contested, and catastrophic claims where judgment and negotiation still decide the outcome.",,,,,48,13-1031,2,52,70,58,58,High
business-analyst,Business Analyst,Business & Finance,43,Moderate,70000,120000,stable,4,3,AI process automation and agent orchestration,Product management fundamentals,AI-enhanced business intelligence,"AI now drafts requirements and pulls reports directly from meetings and data, but reading organizational politics and redesigning workflows around AI remain distinctly human work.",35,40,44,48,43,13-1111,1,46,78,58,45,Moderate
credit-analyst,Credit Analyst,Business & Finance,41,Moderate,50000,95000,stable,3,3,Complex commercial credit and covenant analysis,AI-driven credit scoring platform oversight,Portfolio risk trend analysis,Algorithmic scoring already handles most consumer and small-business credit decisions. Analysts who move into complex commercial deals and portfolio-level risk strategy keep the work software can't yet do.,,,,,41,13-2041,2,44,75,58,45,Moderate
compliance-officer,Compliance Officer,Business & Finance,40,Moderate,70000,135000,rising,4,3,AI governance and ethics frameworks,RegTech and compliance automation,Risk management certification,"AI regulation is exploding worldwide, and monitoring/checklist work is automating fast, but every one of those new rules needs a human who can interpret it and build the internal case for compliance. AI-governance specialists are the fastest-growing niche in the field.",38,40,42,45,40,13-1041,1,45,70,58,42,Moderate
fraud-investigator,Fraud Investigator,Business & Finance,33,Low,55000,100000,rising,3,3,AI/AML transaction-monitoring platform expertise,Investigative interviewing and case-building,"Emerging fraud typology analysis (deepfake, synthetic ID)","AI now catches the overwhelming majority of anomalies automatically, which is actually growing the investigator role: someone still has to confirm intent, interview the subject, and build a case that holds up, and fraud volume keeps climbing.",,,,,33,13-2099,2,36,68,50,48,Moderate
financial-advisor,Financial Advisor,Business & Finance,29,Low,55000,140000,stable,3,3,Comprehensive financial and estate planning,AI portfolio and robo-advisory tools,Behavioral coaching and client trust-building,"Robo-advisors have commoditized basic portfolio management, but the advisors who keep and grow books of business are the ones clients call during a market crash or a life event, not the ones who just rebalance a portfolio.",,,,,29,13-2052,1,32,75,50,35,Low
real-estate-appraiser,Real Estate Appraiser,Business & Finance,29,Low,45000,90000,declining,3,3,Complex and unique-property valuation judgment,AVM oversight and exception review,Litigation and dispute appraisal expertise,"Appraisal-waiver programs and automated valuation models are eroding standard-appraisal volume steadily, but licensed sign-off on complex or disputed properties still requires a certified human on site.",,,,,29,13-2023,2,34,65,45,30,Low
management-consultant,Management Consultant,Business & Finance,28,Low,90000,200000,rising,4,3,AI strategy consulting,AI-powered research and analysis,Change management for AI adoption,"AI now handles research and deck-building faster than any analyst team, but clients still pay for judgment, relationships, and someone accountable for the outcome. Consultants who specialize in AI transformation itself are in peak demand.",25,28,32,35,28,13-1111,1,30,70,52,40,Moderate
credit-counselor,Credit Counselor,Business & Finance,25,Low,40000,65000,stable,3,3,Empathetic financial counseling and coaching,Creditor negotiation,Debt-relief and bankruptcy case guidance,"Debt-plan math is easy to automate, but people in financial distress come to a credit counselor for a person who will negotiate on their behalf and help them change behavior, not a calculator.",,,,,25,13-2071,2,32,52,38,28,Low
real-estate-agent,Real Estate Agent,Business & Finance,25,Low,35000,95000,mixed,4,3,AI-powered listing and comp-generation tools,Negotiation and local market expertise,Client relationship management (CRM/AI follow-up),"AI now writes the listing and pulls the comps, but buying and selling a home is still an emotional, high-stakes, in-person negotiation. Agents who lean into local expertise and relationship management outcompete discount and AI-only listing models.",,,,,25,41-9022,1,28,68,48,30,Low
financial-risk-specialist,Financial Risk Specialist,Business & Finance,24,Low,70000,135000,rising,3,3,AI/ML model risk validation and governance,Quantitative stress-testing platforms,Regulatory capital strategy,"Regulators now treat AI/ML model risk as a top priority, which is turning financial risk specialists into the certified check on every automated pricing and credit model a bank deploys.",,,,,24,13-2054,2,28,58,45,32,Low
financial-examiner,Financial Examiner,Business & Finance,22,Low,60000,115000,stable,3,3,Regulatory enforcement judgment and interpretation,AI-driven exam data analytics,"Emerging risk examination (crypto, AI lending)","Examination data review is getting faster with AI, but the statutory finding and enforcement decision stay with a certified examiner, and new risk categories like crypto and AI-driven lending are expanding the job, not shrinking it.",,,,,22,13-2061,2,28,48,35,25,Low
actuary,Actuary,Business & Finance,19,Low,75000,150000,stable,3,3,AI/ML model validation and governance,"Predictive modeling for novel risk (climate, cyber)",Actuarial credentialing (FSA/ASA/CAS),"Actuarial work is professionally licensed and carries personal liability for the certified opinion, which keeps AI in an assistive role even as modeling tools improve quickly. Actuaries who also validate AI/ML risk models are becoming the bridge between data science and regulatory-grade certification.",,,,,19,15-2011,1,24,55,38,22,Low
purchasing-manager,Purchasing Manager,Business & Finance,19,Low,75000,130000,stable,3,3,Supplier negotiation and sourcing strategy,AI spend-analytics platforms,Supply chain risk management,"AI now surfaces spend patterns and reorder points automatically, but negotiating supplier terms and managing a sourcing team under real supply-chain risk stays a human judgment call.",,,,,19,11-3061,2,24,50,42,25,Low
economist,Economist,Business & Finance,18,Low,65000,150000,stable,3,3,Original research design and causal inference,AI-assisted data analysis and modeling,Policy communication and stakeholder briefing,"AI speeds up the literature review and the first regression, but the value of an economist is still in the research question and the judgment call about what the numbers actually mean for policy.",,,,,18,19-3011,2,24,45,32,22,Low
investment-banker,Investment Banker,Business & Finance,15,Low,85000,275000,mixed,3,3,Deal origination and client relationship management,AI-assisted financial modeling and comps,Cross-border and regulatory deal structuring,"AI now drafts the pitch book in a fraction of the time, but the job has always really been about winning and closing the mandate, which is still a trust-and-negotiation business.",,,,,15,41-3031,2,20,48,32,20,Low
telemarketer,Telemarketer,Marketing & Sales,77,Very High,27000,45000,declining,5,3,AI Voice-Agent Campaign Management,"Regulated-Sales Compliance (TCPA, disclosures)",Complex Objection Handling & Escalation,"Scripted cold calling is now close to a pure agent job: an AI voice agent dials, pitches, and logs outcomes at a fraction of the cost. The remaining human seats sit in regulated products and campaigns where a compliance disclosure or an angry prospect needs a person on the line, and even those seats are shrinking as call-center operators consolidate onto voice-agent platforms.",,,,,77,41-9041,1,80,85,60,86,Very High
content-writer,Content Writer,Marketing & Sales,71,High,42000,85000,declining,5,3,Agentic Drafting Pipeline Ownership,Original Reporting & Source Development,Editorial Strategy & Voice,"Generic drafting is now a commodity an agent can run start to finish across a full content calendar. Writers left standing are the ones who bring reporting AI can't originate, subject expertise it can't fake, and editorial judgment over what an agent produces.",48,55,62,68,71,27-3043,1,72,90,76,58,High
email-marketing-specialist,Email Marketing Specialist,Marketing & Sales,63,High,50000,90000,mixed,5,3,"Agentic Lifecycle Automation (Klaviyo, Braze)",Deliverability & Sender Reputation Management,Revenue Attribution & Lifecycle Strategy,"Build, test, and send is now a loop an agent runs unattended inside modern ESPs. Specialists who own deliverability health and revenue attribution across the lifecycle stay indispensable.",42,48,55,60,63,13-1161,1,64,88,72,54,High
media-buyer,Media Buyer,Marketing & Sales,61,High,40000,90000,declining,4,3,AI-Managed Programmatic Bidding (DSPs),Publisher Negotiation & Custom Deals,Brand Safety & Fraud Oversight,Bid pacing and reporting now run almost entirely inside AI-managed DSPs. The remaining work is negotiating the deals platforms can't auto-execute and catching the fraud and brand-safety issues an algorithm misses.,,,,,61,41-3011,2,62,88,72,58,High
seo-specialist,SEO Specialist,Marketing & Sales,60,High,55000,100000,mixed,5,3,AI Search Optimization (AI Overviews/AIO),Technical SEO & Site Architecture,Content Strategy for Zero-Click Search,"Audits and keyword clustering now run on agents, and the audience is shifting from search results to AI answers. Specialists who master AI-search visibility and can still touch the technical stack remain in demand.",42,48,53,58,60,13-1161,1,62,86,70,54,High
copywriter,Copywriter,Marketing & Sales,58,High,45000,90000,declining,5,3,Agentic Copy Testing & Prompt Direction,Brand Voice Architecture,Conversion & Launch Copywriting,"Catalog and variant copy is now an agent job, run and A/B-tested at volumes no human team could match. Copywriters who survive own the brand voice an agent works from and the high-stakes launch copy nobody trusts it to write alone.",45,52,60,65,58,27-3043,1,60,88,70,50,Moderate
growth-marketer,Growth Marketer,Marketing & Sales,55,High,55000,110000,mixed,4,3,Agentic Growth Experimentation Platforms,Growth-Loop & Funnel Design,Statistical Interpretation of Test Results,The build-launch-measure experiment loop is now something an agent runs continuously. Growth marketers who pick the right bets and read ambiguous results correctly are the ones still worth the seat.,,,,,55,13-1161,2,56,85,70,56,High
social-media-manager,Social Media Manager,Marketing & Sales,53,High,50000,90000,stable,5,3,Agentic Content Scheduling & Creation Tools,Community Management & Crisis Response,Influencer Strategy & Social Analytics,"Posting, captioning, and basic reporting now run on agents around the clock. Managers who own real-time community trust and crisis response are the ones a brand still can't automate away.",38,42,48,52,53,13-1161,1,54,87,70,52,High
market-research-analyst,Market Research Analyst,Marketing & Sales,49,High,55000,100000,stable,4,3,Agentic Analytics & Survey Tooling,Qualitative Research Methods,Data Storytelling for Leadership,Tabulating data and tracking competitors is now agent work. Analysts who ask the sharper research question and translate findings into a strategic story for leadership are the ones that stay in the room.,40,45,50,55,49,13-1161,1,54,74,58,48,Moderate
pr-specialist,PR Specialist,Marketing & Sales,47,Moderate,50000,95000,stable,4,3,AI Media Monitoring & Drafting Tools,Crisis Communication Strategy,Journalist & Influencer Relationship Building,"Routine releases and coverage tracking now run themselves. What still needs a person under pressure is a crisis response, a real relationship with a reporter, and a narrative built to survive scrutiny.",35,38,42,45,47,27-3031,1,50,78,62,48,Moderate
advertising-manager,Advertising Manager,Marketing & Sales,44,Moderate,70000,130000,stable,4,3,"Agentic Ad Platform Management (Advantage+, PMax)",Privacy-First Measurement Strategy,Creative Direction & Campaign Architecture,"Bidding, targeting, and creative rotation now run themselves inside agentic ad platforms. Advertising managers who still own the budget strategy, agency relationships, and the creative narrative across channels are the ones platforms can't route around.",32,35,38,42,44,11-2011,1,46,82,64,46,Moderate
marketing-manager,Marketing Manager,Marketing & Sales,41,Moderate,75000,140000,stable,4,3,Agentic Marketing Automation Oversight,Marketing Analytics & Attribution,Cross-Channel Brand Strategy,"Execution and reporting now run largely on autopilot. Marketing managers who own positioning, customer insight, and orchestration across an ever-multiplying set of channels are becoming more valuable, not less.",30,33,37,40,41,11-2021,1,42,84,66,48,Moderate
sales-representative,Sales Representative,Marketing & Sales,40,Moderate,50000,130000,stable,4,3,"Agentic Sales Tools (Gong, Outreach, Clari)",Consultative Selling Methodology,Sales Analytics & Forecasting,"Prospecting and pipeline admin now run largely on agents. Reps who win are the ones clients trust to understand a nuanced problem and negotiate a complex deal, which no agent closes alone yet.",30,33,35,38,40,41-3091,1,42,78,62,48,Moderate
customer-success-manager,Customer Success Manager,Marketing & Sales,39,Moderate,65000,120000,mixed,4,3,AI Health-Scoring & Playbook Platforms (Gainsight),Enterprise Escalation & Renewal Negotiation,Account Expansion Strategy,"Low-touch onboarding and renewal reminders now run on automated playbooks, which is exactly why headcount is under pressure at SaaS companies in 2026. CSMs who survive own the enterprise accounts where an escalation or expansion conversation still needs a trusted human relationship.",,,,,39,11-9199,1,42,72,58,48,Moderate
account-executive,Account Executive,Marketing & Sales,37,Moderate,70000,160000,stable,4,3,"AI SDR & Deal-Intelligence Tools (Gong, Clari)",Enterprise Negotiation & Closing,Multi-Stakeholder Solution Selling,Prospecting and pipeline admin now run largely on AI SDR agents. What still requires a human is reading the room across a multi-stakeholder buying committee and closing a deal a prospect has to trust.,,,,,37,41-3091,2,38,80,68,46,Moderate
insurance-sales-agent,Insurance Sales Agent,Marketing & Sales,34,Low,40000,85000,mixed,4,3,AI Quote-Engine Oversight & Exception Handling,Complex-Risk Advisory Selling,AI-Assisted Client Outreach & Retention,"Personal-lines insurance is already sold by software; agents surviving the shift are advisors on complex risk, not quote processors.",,,,,34,41-3021,2,38,68,48,45,Moderate
wholesale-sales-representative,Wholesale Sales Representative,Marketing & Sales,31,Low,40000,95000,stable,3,3,B2B AI Ordering & Reorder Platforms,Buyer Relationship & Account Retention,Volume Pricing & Shelf-Space Negotiation,Reordering and catalog lookups are moving to self-service B2B portals. Reps who keep the relationship that wins shelf space and negotiates volume pricing are harder to route around.,,,,,31,41-4012,2,36,68,46,34,Low
